# unidata-5.1.0.txt
# Date: 2008-03-04, 10:55:08 PST [KW]
#
# This file defines the Default Unicode Collation Element Table
#   (DUCET) for the Unicode Collation Algorithm
#
# Copyright (c) 2001-2008 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# See UTS #10, Unicode Collation Algorithm, for more information.
#
# Diagnostic weight ranges
# Primary weight range:   0200..3266 (12391)
# Secondary weight range: 0020..01DE (447)
# Variant secondaries:    01AF..01B4 (6)
# Digit secondaries:      01B5..01DE (42)
# Tertiary weight range:  0002..001F (30)
#
# Subsetted and comments removed.
#
@version 5.1.0

0000  ; [.0000.0000.0000.0000]
0001  ; [.0000.0000.0000.0000]
0002  ; [.0000.0000.0000.0000]
0003  ; [.0000.0000.0000.0000]
0004  ; [.0000.0000.0000.0000]
0005  ; [.0000.0000.0000.0000]
0006  ; [.0000.0000.0000.0000]
0007  ; [.0000.0000.0000.0000]
0008  ; [.0000.0000.0000.0000]
000E  ; [.0000.0000.0000.0000]
000F  ; [.0000.0000.0000.0000]
0010  ; [.0000.0000.0000.0000]
0011  ; [.0000.0000.0000.0000]
0012  ; [.0000.0000.0000.0000]
0013  ; [.0000.0000.0000.0000]
0014  ; [.0000.0000.0000.0000]
0015  ; [.0000.0000.0000.0000]
0016  ; [.0000.0000.0000.0000]
0017  ; [.0000.0000.0000.0000]
0018  ; [.0000.0000.0000.0000]
0019  ; [.0000.0000.0000.0000]
001A  ; [.0000.0000.0000.0000]
001B  ; [.0000.0000.0000.0000]
001C  ; [.0000.0000.0000.0000]
001D  ; [.0000.0000.0000.0000]
001E  ; [.0000.0000.0000.0000]
001F  ; [.0000.0000.0000.0000]
007F  ; [.0000.0000.0000.0000]
0080  ; [.0000.0000.0000.0000]
0081  ; [.0000.0000.0000.0000]
0082  ; [.0000.0000.0000.0000]
0083  ; [.0000.0000.0000.0000]
0084  ; [.0000.0000.0000.0000]
0086  ; [.0000.0000.0000.0000]
0087  ; [.0000.0000.0000.0000]
0088  ; [.0000.0000.0000.0000]
0089  ; [.0000.0000.0000.0000]
008A  ; [.0000.0000.0000.0000]
008B  ; [.0000.0000.0000.0000]
008C  ; [.0000.0000.0000.0000]
008D  ; [.0000.0000.0000.0000]
008E  ; [.0000.0000.0000.0000]
008F  ; [.0000.0000.0000.0000]
0090  ; [.0000.0000.0000.0000]
0091  ; [.0000.0000.0000.0000]
0092  ; [.0000.0000.0000.0000]
0093  ; [.0000.0000.0000.0000]
0094  ; [.0000.0000.0000.0000]
0095  ; [.0000.0000.0000.0000]
0096  ; [.0000.0000.0000.0000]
0097  ; [.0000.0000.0000.0000]
0098  ; [.0000.0000.0000.0000]
0099  ; [.0000.0000.0000.0000]
009A  ; [.0000.0000.0000.0000]
009B  ; [.0000.0000.0000.0000]
009C  ; [.0000.0000.0000.0000]
009D  ; [.0000.0000.0000.0000]
009E  ; [.0000.0000.0000.0000]
009F  ; [.0000.0000.0000.0000]
070F  ; [.0000.0000.0000.0000]
180B  ; [.0000.0000.0000.0000]
180C  ; [.0000.0000.0000.0000]
180D  ; [.0000.0000.0000.0000]
180E  ; [.0000.0000.0000.0000]
200B  ; [.0000.0000.0000.0000]
200C  ; [.0000.0000.0000.0000]
200D  ; [.0000.0000.0000.0000]
200E  ; [.0000.0000.0000.0000]
200F  ; [.0000.0000.0000.0000]
202A  ; [.0000.0000.0000.0000]
202B  ; [.0000.0000.0000.0000]
202C  ; [.0000.0000.0000.0000]
202D  ; [.0000.0000.0000.0000]
202E  ; [.0000.0000.0000.0000]
2060  ; [.0000.0000.0000.0000]
2064  ; [.0000.0000.0000.0000]
206A  ; [.0000.0000.0000.0000]
206B  ; [.0000.0000.0000.0000]
206C  ; [.0000.0000.0000.0000]
206D  ; [.0000.0000.0000.0000]
206E  ; [.0000.0000.0000.0000]
206F  ; [.0000.0000.0000.0000]
FE00  ; [.0000.0000.0000.0000]
FE01  ; [.0000.0000.0000.0000]
FE02  ; [.0000.0000.0000.0000]
FE03  ; [.0000.0000.0000.0000]
FE04  ; [.0000.0000.0000.0000]
FE05  ; [.0000.0000.0000.0000]
FE06  ; [.0000.0000.0000.0000]
FE07  ; [.0000.0000.0000.0000]
FE08  ; [.0000.0000.0000.0000]
FE09  ; [.0000.0000.0000.0000]
FE0A  ; [.0000.0000.0000.0000]
FE0B  ; [.0000.0000.0000.0000]
FE0C  ; [.0000.0000.0000.0000]
FE0D  ; [.0000.0000.0000.0000]
FE0E  ; [.0000.0000.0000.0000]
FE0F  ; [.0000.0000.0000.0000]
FEFF  ; [.0000.0000.0000.0000]
FFF9  ; [.0000.0000.0000.0000]
FFFA  ; [.0000.0000.0000.0000]
FFFB  ; [.0000.0000.0000.0000]
1D173 ; [.0000.0000.0000.0000]
1D174 ; [.0000.0000.0000.0000]
1D175 ; [.0000.0000.0000.0000]
1D176 ; [.0000.0000.0000.0000]
1D177 ; [.0000.0000.0000.0000]
1D178 ; [.0000.0000.0000.0000]
1D179 ; [.0000.0000.0000.0000]
1D17A ; [.0000.0000.0000.0000]
E0001 ; [.0000.0000.0000.0000]
E0020 ; [.0000.0000.0000.0000]
E0021 ; [.0000.0000.0000.0000]
E0022 ; [.0000.0000.0000.0000]
E0023 ; [.0000.0000.0000.0000]
E0024 ; [.0000.0000.0000.0000]
E0025 ; [.0000.0000.0000.0000]
E0026 ; [.0000.0000.0000.0000]
E0027 ; [.0000.0000.0000.0000]
E0028 ; [.0000.0000.0000.0000]
E0029 ; [.0000.0000.0000.0000]
E002A ; [.0000.0000.0000.0000]
E002B ; [.0000.0000.0000.0000]
E002C ; [.0000.0000.0000.0000]
E002D ; [.0000.0000.0000.0000]
E002E ; [.0000.0000.0000.0000]
E002F ; [.0000.0000.0000.0000]
E0030 ; [.0000.0000.0000.0000]
E0031 ; [.0000.0000.0000.0000]
E0032 ; [.0000.0000.0000.0000]
